hero_kr,epithet_kr,faction,attr,key,skill_kr,tooltip_kr,mana,cooldown,learn_level,origin,namu_title
가래,캐릭터 모델 첨부 부탁드립니다.,센티널,민첩,E,유도 화살,12초간 지속되는 공격력 28의 유도 화살 1 / 2 / 3발을 자신이 바라보는 방향 550 위치에 소환합니다. 가래가 마지막으로 공격한 대상을 계속 추적 마법 면역 무시,80 / 95 / 110,10,1 / 4 / 7,,가래/카오스(워크래프트 3/유즈맵)
가래,캐릭터 모델 첨부 부탁드립니다.,센티널,민첩,패시브,다중 화살,매 공격마다 추가로 2 / 3 / 4개의 화살을 더 쏘아 최대 3 / 4 / 5명에게 동일한 피해를 입힙니다.,-,1 / 3 / 5,,,가래/카오스(워크래프트 3/유즈맵)
가래,캐릭터 모델 첨부 부탁드립니다.,센티널,민첩,패시브,숙련된 발사,"자신의 공격력을 5 / 10 / 15 증가시키며, 자신과 700 범위내 원거리 아군의 공격력을 10% / 20% / 30% 증가시킵니다. 원거리 공격력은 기본 공격력과 속성 증가으로 추가된 공격력만 비율로 상승",-,1 / 3 / 5,,,가래/카오스(워크래프트 3/유즈맵)
가래,캐릭터 모델 첨부 부탁드립니다.,센티널,민첩,W,화살 폭탄,"적에게 화살 폭탄을 사용해 300 / 400 + 자신의 레벨 X 50의 피해를 입히며 2초간 기절시킵니다. 주변 200 범위에 방사 피해를 입힙니다. 시전 대기시간 0.5초 건물에는 60%의 피해를 입힘, 최대 피해량 1100 / 1200 마법 면역 무시",150,150 / 135,6 / 12,,가래/카오스(워크래프트 3/유즈맵)
갈리토스,전차부대 대장,센티널,힘,E,메가엑스,"적을 도끼로 내려찍어 120 / 250 / 380의 피해를 입히고, 1.5 / 2.25 / 3초간 기절시킵니다.",75 / 100 / 125,9,1 / 3 / 5,원전은 오스마르 가리토스이다. 받침에 주의.,갈리토스
갈리토스,전차부대 대장,센티널,힘,R,전기 충격기,"공격력 20 / 35 / 50 / 65의 전기 충격기 3개를 소환합니다. 공격 타입 마법, 공격 속도 1",3 / 4 / 5 / 6,-,1 / 4 / 7 / 10,원전은 오스마르 가리토스이다. 받침에 주의.,갈리토스
갈리토스,전차부대 대장,센티널,힘,F,마법 방패,"습득시 영구적으로 마법 방어력이 4% / 7% / 10% 증가합니다. 적의 타겟형 마법을 자동으로 1회 막아주고, 마법 방어 발동후 2 / 2.5 / 3초간 기절 면역 상태가 됩니다. 기절 면역은 수동으로 사용할 수도 있음",-,15,1 / 3 / 5,원전은 오스마르 가리토스이다. 받침에 주의.,갈리토스
갈리토스,전차부대 대장,센티널,힘,W,희생의 전차,희생의 전차를 소환합니다. 전차 스펙은 아래 참조,150 / 200,165,6 / 12,원전은 오스마르 가리토스이다. 받침에 주의.,갈리토스
구르르,캐릭터 모델 첨부 부탁드립니다.,스콜지,힘,D,망치 던지기,적 유닛에게 망치를 던져 50 / 125 / 200의 피해를 입히고 1 / 1.75 / 2.5초간 기절시킵니다. 또한 대상과 대상 주위 200 범위내 적 유닛에게 100 / 150 / 200의 피해를 입히고 0.5 / 1 / 1.5초간 기절시킵니다. 분노 사용시 분노의 망치 던지기로 강화됨 D - 분노의 망치 던지기 적 유닛에게 망치를 던져 150 / 225 / 300의 피해를 입히고 1 / 1.75 / 2.5초간 기절시킵니다. 또한 대상과 대상 주위 300 범위내 적 유닛에게 100 / 150 / 200의 피해를 입히고 0.5 / 1 / 1.5초간 기절시킵니다.,70 / 80 / 90,9,1 / 3 / 5,,구르르
구르르,캐릭터 모델 첨부 부탁드립니다.,스콜지,힘,T,흥분,20 / 25 / 30초간 힘 속성이 7 / 12 / 17 + 자신의 레벨만큼 증가하지만 4% / 3% / 2%의 추가 피해를 입습니다. 자신의 레벨 증가량은 21까지만 적용(3레벨 기준 최대 38 증가) 사용시 야수 발톱이 활성화됨 패시브 - 야수 발톱 매 공격마다 추가로 자신의 최대 체력의 1%만큼의 마법 피해를 입힙니다.,60 / 80 / 100,40,1 / 3 / 5,,구르르
구르르,캐릭터 모델 첨부 부탁드립니다.,스콜지,힘,패시브,야생 본능,"자신의 이동 속도를 10% / 20% / 30% / 40% 증가시키고, 체력 회복 속도를 5 / 10 / 15 / 20 증가시킵니다.",-,1 / 3 / 5 / 7,,,구르르
구르르,캐릭터 모델 첨부 부탁드립니다.,스콜지,힘,W,분노,"45초간 분노 형태로 변신합니다. 체력이 500, 체력 회복 속도가 10, 공격력이 16 - 32 증가하고 공격 타입이 카오스로, 사정거리가 170으로, 기본 공격 속도가 1.4로 변경되며 방어력이 5, 공격 속도가 25% 증가합니다. 매 공격마다 100 범위내 100%, 200 범위내 80%, 300 범위내 60%의 방사 피해를 입힘 사용시 망치 던지기가 분노의 망치 던지기로 강화됨",150,145,6,,구르르
그롬 헬스크림,캐릭터 모델 첨부 부탁드립니다.,스콜지,힘,W,광란의 발걸음,15 / 30 / 45초간 투명 상태로 변하며 이동 속도가 10% / 20% / 30% 증가합니다. 적 공격시 2초간 기절시키며 투명 상태가 해제됩니다. 마법 면역에게는 기절 시간 1초,80 / 85 / 90,9,1 / 3 / 5,,그롬 헬스크림/카오스(워크래프트 3/유즈맵)
그롬 헬스크림,캐릭터 모델 첨부 부탁드립니다.,스콜지,힘,D,파쇄풍,"3초간 자신을 칼날의 폭풍으로 감싸 모든 피해가 10% / 20% / 30% 감소하고, 마법에 면역이 되며, 주변 적 유닛과 건물에 초당 40 / 80 / 120의 피해를 입힙니다. 마법 면역 무시",60 / 70 / 80,14,2 / 5 / 8,,그롬 헬스크림/카오스(워크래프트 3/유즈맵)
그롬 헬스크림,캐릭터 모델 첨부 부탁드립니다.,스콜지,힘,E,무아지경,"9 / 12 / 15초간 공격 속도가 30% / 45% / 60% 증가하고, 매 공격마다 14% / 22% / 30% 확률로 적의 현재 체력의 8% - 12%만큼 추가 피해를 입히지만 자신도 적의 공격에 5%의 추가 피해를 입습니다. 마법 면역 무시",60 / 80 / 100,30,1 / 3 / 5,,그롬 헬스크림/카오스(워크래프트 3/유즈맵)
그롬 헬스크림,캐릭터 모델 첨부 부탁드립니다.,스콜지,힘,패시브,파괴 본능,"영구적으로 공격력이 22 / 37 증가하고, 매 공격마다 33.3% 확률로 2 / 2.5배의 피해를 입힙니다.",-,5 / 10,,,그롬 헬스크림/카오스(워크래프트 3/유즈맵)
그리메,캐릭터 모델 첨부 부탁드립니다.,센티널,힘,F,인화,400 범위 내 적들에게 0.25초마다 9 / 18 / 27의 피해를 입힙니다.,2 / 3 / 4,-,1 / 3 / 5,,그리메
그리메,캐릭터 모델 첨부 부탁드립니다.,센티널,힘,B,그림자 이동,"습득시 영구적으로 이동 속도가 10% / 15% / 20% 증가합니다. 사용시 선택한 유닛의 위치로 순간이동합니다. 대상이 적 유닛일 경우 100 / 175 / 250의 피해를 입힙니다. 사정거리 500 / 550 / 600 건물에게 사용 불가능, 기계에게는 사용 가능",60 / 70 / 80,8,1 / 3 / 5,,그리메
그리메,캐릭터 모델 첨부 부탁드립니다.,센티널,힘,패시브,불멸,"사망할 경우 영혼 상태로 변신합니다. 영혼 상태로 15초간 생존시 다시 원래 상태로 부활합니다. 영혼 상태 스펙은 아래 참조 영혼 상태 공격, 마법, 이동 불가, 방어 타입 중형 체력, 마력, 방어력은 본래의 스펙을 그대로 적용 패시브 - 마법 면역 마법에 면역이 됩니다. 패시브 - 돌려주기 적의 근접 공격 피해의 10% / 20% / 30%를 되돌려 줍니다.",-,135 / 120 / 105,2 / 7 / 12,,그리메
그리메,캐릭터 모델 첨부 부탁드립니다.,센티널,힘,W,3단 분리,"그리메를 3명으로 분리합니다. 분리된 그리메 스펙은 아래 참조 분리된 그리메 체력 1500 / 2000 / 2500, 공격력 85 - 90 / 105 - 110 / 120 - 125(일반), 사정거리 근접, 방어력 5 / 10 / 15(영웅), 공격 속도 0.7, 이동 속도 522, 지속시간 45초 패시브 - 영구 인화 300 범위 내 적들에게 0.33초마다 15 / 30 / 45의 피해를 입힙니다. 패시브 - 펄버라이즈 25% 확률로 200 범위 내 적들에게 30의 피해를 입힙니다. 마법 면역 무시 패시브 - 치명타 매 공격마다 15% 확률로 2배의 피해를 입힙니다. 3단 분리 3레벨일 경우에만 보유 패시브 - 마법 면역 마법에 면역이 됩니다. 패시브 - 리지스턴트 스킨 적군의 마법이 지속되는 시간을 줄여주고 특정 마법에 대한 면역을 제공합니다. 패시브 - 탐지기 주변의 은신 유닛을 탐지합니다. 패시브 - 되돌아감 이 분신이 본체가 됩니다. 3기 중 1기에만 있으며 보유 개체가 죽으면 자동으로 다른 개체에게 넘어감",150 / 200 / 250,165,6 / 12 / 18,,그리메
나래,신궁의 후예,센티널,민첩,E,목표 설정,"대상을 목표로 설정해 7초간 방어력을 2 / 4 / 6 감소시키고 나래의 공격에 5% / 7% / 9%의 피해를 더 입힙니다. 또한 1초간 이동 속도를 30% / 35% / 40% 감소시킵니다. 대상은 지속시간동안 위치가 노출되며, 은신 또한 탐지됩니다. 건물 및 기계에는 2.5초간 적용",60 / 70 / 80,8,1 / 3 / 5,,나래/카오스(워크래프트 3/유즈맵)
나래,신궁의 후예,센티널,민첩,R,번개 화살,매 공격마다 15 / 30 / 45 / 60의 공격력을 추가하며 20% 확률로 대상을 기준으로 뒤로 퍼지는 번개를 1 / 2 / 3 / 4줄기 발사합니다. 번개는 30의 마법 피해를 입힙니다. 오브 기반,4 / 5 / 6 / 7,-,1 / 4 / 7 / 10,,나래/카오스(워크래프트 3/유즈맵)
나래,신궁의 후예,센티널,민첩,패시브,강화된 활,"공격 속도가 10 / 15 / 20% 증가하고, 공격한 유닛의 방어력을 2초간 2 / 4 / 6 감소시킵니다.[1]",-,1 / 3 / 5,,,나래/카오스(워크래프트 3/유즈맵)
나래,신궁의 후예,센티널,민첩,W,신궁 강림,"25초간 사정거리가 100, 공격력이 20 / 40 증가하며 기본 공격 속도가 1.4 / 1.3으로 변경됩니다. 또한 이동시[2] 0.7초마다 나래의 환영[3]이 적을 공격합니다. 사용시 음속 이동이 활성화됨",125 / 150,70,6 / 12,,나래/카오스(워크래프트 3/유즈맵)
나이샤,캐릭터 모델 첨부 부탁드립니다.,센티널,민첩,X,석화,적 유닛을 2 / 3 / 4초간 돌로 만들고 100 / 175 / 250의 피해를 입힙니다. 영웅이 아닌 유닛은 지속시간 2배로 적용 디스펠로 해제 가능,80 / 100 / 120,25 / 22 / 19,1 / 4 / 7,,나이샤/카오스(워크래프트 3/유즈맵)
나이샤,캐릭터 모델 첨부 부탁드립니다.,센티널,민첩,C,달의 표창,블루 헌트리스 사정거리가 50 / 100 / 150 증가합니다. 사용시 블랙 헌트리스로 전환됩니다. 블랙 헌트리스 공격시 표창이 1 / 2 / 3회 더 튕기며 튕길 때마다 공격력이 35%씩 감소합니다. 사용시 블루 헌트리스로 전환됩니다. 흡혈 조합을 제외한 오브 기반 아이템 착용 불가,-,3,1 / 3 / 5,,나이샤/카오스(워크래프트 3/유즈맵)
나이샤,캐릭터 모델 첨부 부탁드립니다.,센티널,민첩,패시브,숙련된 표창,"영구적으로 민첩이 4 / 7 / 10 증가하며, 5% / 10% / 15% 확률로 적의 공격을 회피합니다. 회피는 회피 아이템과 중복 불가",-,1 / 3 / 5,,,나이샤/카오스(워크래프트 3/유즈맵)
나이샤,캐릭터 모델 첨부 부탁드립니다.,센티널,민첩,W,용기의 빛,800 범위 내 자신을 포함한 모든 아군을 5초간 무적 상태로 만듭니다. 채널링 상태인 유닛은 무적 효과를 받지 못함,150,165,6,,나이샤/카오스(워크래프트 3/유즈맵)
나즈그렐,늑대부족의 수호자,센티널,지능,T,황혼의 늑대,"황혼의 늑대 2기를 소환합니다. 재사용시 기존에 소환된 늑대는 사라짐 황혼의 늑대 스펙은 아래 참조 황혼의 늑대 체력 600 / 800 / 1000 / 1200, 체력 회복 +10(밤에만), 공격력 31 - 32 / 51 - 52 / 71 - 72 / 91 - 92(일반), 방어력 4 / 7 / 10 / 13(대형), 공격 속도 2.5 / 2 / 1.5 / 1.0, 이동 속도 300 / 360 / 420 / 420, 마법 피해 20% 감소, 지속시간 60초 패시브 - 황혼 늑대의 저주 매 공격마다 17% 확률로 지속시간 5초의 퍼지를 시전합니다. 적 소환물에게는 200의 피해를 입힙니다. 황혼의 늑대 3레벨 이상만 보유 패시브 - 단단한 피부 피격시 8% 확률로 물리 피해를 무효화 합니다. 황혼의 늑대 4레벨만 보유",75 / 90 / 105 / 120,15,1 / 4 / 7 / 10,원전은 나즈그렐이다.,나즈그렐/카오스(워크래프트 3/유즈맵)
나즈그렐,늑대부족의 수호자,센티널,지능,E,주박술,"적 유닛에게 주박술을 걸어 6초간 2초마다 공격 속도를 0% + 20% / 30% / 40%씩 최대 60% / 90% / 120%만큼, 이동 속도를 0% / 10% / 25% + 15%씩 최대 45% / 55% / 70%만큼 감소시킵니다. 또한 지속시간동안 타겟형 마법에 추가 피해를 입힙니다. 추가 피해는 자신 30 / 40 / 50, 화살류 15 / 20 / 25, 그 외 60 / 80 / 100 추가 피해량 최대 500 공격 속도 및 이동 속도 감소는 마법 면역 무시",100 / 110 / 120,24 / 21 / 18,1 / 4 / 7,원전은 나즈그렐이다.,나즈그렐/카오스(워크래프트 3/유즈맵)
나즈그렐,늑대부족의 수호자,센티널,지능,패시브,비전술,공격시 최대 적 2기에게 튕기는 번개[1]를 발사해 60 / 90 / 120의 피해를 입힙니다.,20 / 30 / 40,1,1 / 3 / 5,원전은 나즈그렐이다.,나즈그렐/카오스(워크래프트 3/유즈맵)
나즈그렐,늑대부족의 수호자,센티널,지능,W,늑대의 춤사위,"30초간 선택할 수 없는 늑대 3 / 5마리를 소환합니다. 늑대들은 나즈그렐의 공격 속도를 100% / 150%, 이동 속도를 70%, 지능을 10 증가시키며, 비전술의 번개 공격 쿨다운이 사라집니다. 또한 초당 마력 회복 속도를 0 / 10만큼 증가시킵니다. 황혼의 늑대도 공격 속도 및 이동 속도 증가 효과를 받으며 추가로 공성 피해 +20%",150 / 200,90,6 / 12,원전은 나즈그렐이다.,나즈그렐/카오스(워크래프트 3/유즈맵)
나카챠,사악한 부두술사,스콜지,지능,E,환각의 부두술,적 유닛에게 100 / 200 / 300의 피해를 입히고 1 / 1.5 / 2초간 공포상태로 만듭니다.[1],80 / 100 / 120,12,1 / 4 / 7,,나카챠(카오스)
나카챠,사악한 부두술사,스콜지,지능,T,날벌레 토템,"3초간 해당 지역에 날벌레가 꼬이는 토템을 소환해 300 범위내 적 유닛과 건물에 0.25초마다 20 / 30 / 40의 피해를 입힙니다. 날벌레 토템 체력 1000, 방어력 5(대형), 워드 타입",60 / 75 / 90,10,1 / 4 / 7,,나카챠(카오스)
나카챠,사악한 부두술사,스콜지,지능,D,영혼 갈취,"3초간 대상의 이동 속도를 30% 감소시키고, 0.6초마다 20 / 35 / 50 + 대상 최대체력의 2%만큼의 피해를 입히며, 피해량의 100%만큼의 체력과 50%만큼의 마력을 회복합니다.[2] 시야에서 대상이 사라지거나 대상과 1500 거리 이상이 되면 해제됨",80 / 100 / 120,12,1 / 4 / 7,,나카챠(카오스)
나카챠,사악한 부두술사,스콜지,지능,W,부두 인형,"10초간 적 영웅의 영혼이 깃든 부두 인형을 소환합니다. 연결된 적 영웅은 지속시간동안 이동 속도와 공격 속도가 15% 감소합니다. 부두 인형의 제단을 통해 4가지의 기술을 사용할 수 있습니다.[3] 지속시간내에 4가지 중 1개만 골라 사용 가능 마법 면역 무시 부두 제단 체력 1500, 방어력 15(건물) W - 못 박기 2초마다 260 / 460의 피해를 입히고 1초간 기절을 2번 가합니다. E - 다리 찢기 2초마다 300 / 500의 피해를 입히고 1.5초간 이동 속도를 90% 감소시키는 둔화를 2번 가합니다. R - 쥐어짜기 2초마다 200 / 300의 피해를 2번 입히고 피해를 입힐 때마다 자신의 체력과 마력을 10%씩 회복합니다. 사용 즉시 나카챠는 3초간 무적 상태가 됨 T - 불태우기 0.5초마다 70 / 110 + 최대 체력의 2%의 피해를 10번 가합니다. R - 부두 저주 선택 부두 인형에 사용할 저주를 미리 선택해놓을 수 있습니다. 미리 저주를 선택할 경우 부두 인형을 사용시 자동으로 해당 저주가 시전됩니다.",150 / 200,135 / 125,6 / 12,,나카챠(카오스)
니바스,어둠의 마법사,스콜지,지능,D,죽음의 손길,400 범위내 모든 적 유닛과 건물에게 20 / 30 / 40 / 50의 피해를 입히는 죽음의 손을 7 / 8 / 9 / 10번 소환합니다. 피해를 입은 적은 4 / 5 / 6 / 7초간 초당 14 / 20 / 26 / 32의 추가 피해를 입습니다. 건물에는 50% / 47% / 43% / 40%의 피해를 입힘 채널링 기술,100 / 125 / 150 / 175,9,1 / 4 / 7 / 10,,니바스
