story_id,phase,phase_order,sin,text_kr,text_en
dep_wrath,depart,1,wrath,문을 걷어차고 나선다 — 골목마다 시비가 붙지만 아무도 앞을 막지 못한다,Kicks the door open — brawls at every corner but nobody blocks the way
dep_envy,depart,1,envy,남의 일행을 뒤쫓는다 — 쓸 만한 사람은 늘 이미 누군가와 함께 있다,Trails another company — the good ones always belong to someone already
dep_greed,depart,1,greed,술값부터 계산한다 — 지갑을 여는 순간 이야기가 모여든다,Pays the tab first — purses open and stories gather
dep_sloth,depart,1,sloth,성문 앞 그늘에 자리를 잡는다 — 지나가는 사람을 세지 않고 기다린다,Settles in the shade by the gate — waits without counting who passes
dep_gluttony,depart,1,gluttony,시장 좌판을 훑으며 나선다 — 배가 부를 때까지는 아무 데도 안 간다,Works down the market stalls — goes nowhere until full
dep_lust,depart,1,lust,광장의 악사 옆에 선다 — 이름을 묻기 전에 이름이 먼저 불린다,Stands beside the square musician — gets named before asking a name
dep_pride,depart,1,pride,이름을 대며 들어선다 — 그 이름을 아는 사람이 몇인지 확인하려고,Enters announcing the name — to see how many already know it
dep_c1,depart,1,-,지도를 접어 넣고 성문을 나선다,Folds the map away and passes the gate
dep_c2,depart,1,-,하루치 물과 마른 빵을 챙긴다,Packs a day of water and dry bread
dep_c3,depart,1,-,문지기에게 요즘 누가 오갔는지 묻는다,Asks the gatekeeper who has come and gone
trk_c1,track,2,-,마차길을 따라 서쪽 마을로 향한다,Follows the cart road west
trk_c2,track,2,-,무너진 초소에서 낯선 야영 흔적을 찾았다,Finds a stranger camp in a ruined post
trk_c3,track,2,-,비가 내려 자취가 지워졌다 — 다시 처음부터다,Rain wipes the trail — back to the start
trk_c4,track,2,-,떠돌이 대장장이가 소문 하나를 팔았다,A wandering smith sells a rumor
trk_c5,track,2,-,국경 초소에서 반나절을 붙잡혔다,Held half a day at a border post
trk_c6,track,2,-,늑대 울음을 피해 길을 크게 돌았다,Swings wide around the howling
trk_c7,track,2,-,여관 주인이 방값 대신 이야기를 받았다,The innkeeper takes a story instead of the room fee
trk_c8,track,2,-,무너진 다리 앞에서 강을 따라 걷는다,Walks the river where the bridge is out
fnd_wrath,find,3,wrath,술집 싸움을 혼자 끝낸 사람을 데려온다,Brings back the one who ended the brawl alone
fnd_envy,find,3,envy,자기보다 잘난 자를 이기려고 따라나선 사람,One who follows to outdo someone better
fnd_greed,find,3,greed,보수를 두 번 물어보고서야 손을 내민 사람,One who asked the pay twice before shaking hands
fnd_sloth,find,3,sloth,아무도 안 부르길래 그냥 따라온 사람,One who came along because nobody else asked
fnd_gluttony,find,3,gluttony,밥값을 대신 내주자 짐을 챙긴 사람,One who packed once the meal was paid
fnd_lust,find,3,lust,하룻밤 이야기 끝에 함께 오기로 한 사람,One who agreed after a night of talk
fnd_pride,find,3,pride,마을에서 가장 잘 알려진 이름을 가진 사람,One carrying the best known name in town
fnd_c1,find,3,-,돌아오는 길에 동행이 하나 늘었다,Comes home one traveler heavier
fnd_c2,find,3,-,계약서 대신 악수 하나로 정리했다,A handshake settles it instead of papers
fnd_c3,find,3,-,성문이 닫히기 직전에 둘이 들어선다,Two slip in just before the gate shuts
