champion_id,champion_kr,champion_en,title_kr,tags,slot,skill_kr,skill_en,cooldown,desc_kr
Aatrox,아트록스,Aatrox,다르킨의 검,Fighter,P,사신 태세,Deathbringer Stance,-,주기적으로 아트록스의 기본 공격이 대상 최대 체력에 비례하여 추가 마법 피해를 입히고 자신의 체력을 회복합니다.
Aatrox,아트록스,Aatrox,다르킨의 검,Fighter,Q,다르킨의 검,The Darkin Blade,14/12/10/8/6,아트록스가 대검을 내리쳐 물리 피해를 줍니다. 세 번까지 휘두를 수 있으며 각 공격은 피해 범위가 다릅니다.
Aatrox,아트록스,Aatrox,다르킨의 검,Fighter,W,지옥사슬,Infernal Chains,20/18/16/14/12,아트록스가 지면을 내리쳐 처음 맞힌 적에게 피해를 줍니다. 대상이 챔피언 또는 대형 몬스터인 경우 일정 시간 안에 해당 지역을 벗어나지 않으면 중앙으로 끌려가 다시 피해를 받습니다.
Aatrox,아트록스,Aatrox,다르킨의 검,Fighter,E,파멸의 돌진,Umbral Dash,9/8/7/6/5,"기본 지속 효과로 아트록스가 적 챔피언에게 피해를 입히면 체력을 회복합니다. 사용 시, 아트록스가 지정한 방향으로 돌진합니다."
Aatrox,아트록스,Aatrox,다르킨의 검,Fighter,R,세계의 종결자,World Ender,120/100/80,"아트록스가 악마의 힘을 해방하여 근처 적 미니언에게 공포를 주고 자신의 공격력과 체력 회복량, 이동 속도가 증가합니다. 아트록스가 챔피언 처치에 관여하면 이 효과의 지속시간이 연장됩니다."
Ahri,아리,Ahri,구미호,Mage|Assassin,P,정기 흡수,Essence Theft,-,아리가 미니언 또는 몬스터를 9마리 처치하면 체력을 회복합니다. 아리가 적 챔피언 처치에 관여하면 더 많은 체력을 회복합니다.
Ahri,아리,Ahri,구미호,Mage|Assassin,Q,현혹의 구슬,Orb of Deception,7,아리가 구슬을 던지고 다시 받습니다. 던질 때는 마법 피해를 주며 돌아올 때는 고정 피해를 줍니다.
Ahri,아리,Ahri,구미호,Mage|Assassin,W,여우불,Fox-Fire,9/8/7/6/5,"아리의 이동 속도가 잠시 동안 크게 증가하며 아리가 여우불 세 개를 생성하면, 각각 자동으로 적을 찾아 공격합니다."
Ahri,아리,Ahri,구미호,Mage|Assassin,E,매혹,Charm,12,아리가 입맞춤을 날려 피해를 주며 맞은 적을 홀립니다. 홀린 적은 즉시 이동 스킬을 멈추고 아리 쪽으로 무작정 다가갑니다.
Ahri,아리,Ahri,구미호,Mage|Assassin,R,혼령 질주,Spirit Rush,140/120/100,"아리가 전방으로 질주하며 근처 적 챔피언들에게 혼령의 정기를 쏘아냅니다. 재사용 대기시간이 적용되기 전에 최대 세 번까지 사용할 수 있으며, 적 챔피언 처치 관여 시 재사용 가능 횟수가 늘어납니다."
